#{"t_start": 1774890297.2690027, "env_id": "Hopper-v4"}
r,l,t
13.691805,25,0.891961
9.014649,16,0.921456
17.75801,20,0.954553
28.126268,31,1.009583
10.82977,18,1.046058
81.454925,48,1.134068
7.388943,11,1.158304
40.523472,36,1.232193
10.842465,14,1.259279
7.711998,12,1.287203
17.878621,22,1.343424
8.641328,14,1.376883
16.068322,22,1.438662
17.495164,22,1.497435
37.353447,40,1.607305
26.108716,23,1.675685
20.48336,24,1.743599
28.054099,51,1.889517
11.653845,18,1.938777
12.655386,15,1.983586
10.606923,25,2.053974
7.186917,10,2.085523
11.96446,18,2.134196
18.502773,24,2.193802
17.26576,31,2.27367
7.492148,12,2.305405
78.320569,53,2.449713
16.296879,32,2.529264
9.866657,15,2.569185
11.585949,16,2.609534
15.838738,20,2.664991
25.459975,29,2.747627
11.901028,13,2.787142
21.659128,29,2.870619
8.403847,13,2.909273
14.863563,15,2.946633
13.398629,15,2.98755
16.27686,17,3.033261
21.559353,30,3.111748
32.712016,29,3.191942
8.057211,11,3.220409
53.954194,40,3.32895
21.064582,20,3.382213
36.111637,32,3.460645
9.73236,15,3.505992
10.579277,17,3.55301
11.134785,28,3.630614
13.653164,15,3.666574
40.109694,36,3.767639
10.531771,18,3.823747
11.568561,13,3.853996
11.836083,18,3.895221
12.029173,14,3.924684
9.617368,15,3.964343
8.328761,10,3.987458
33.328653,43,5.669724
36.743999,45,7.028833
12.571237,16,7.08988
12.253826,27,8.278023
9.060321,12,8.324267
10.57647,16,8.387936
19.777152,23,9.726358
46.263321,42,9.893417
31.660391,30,11.393796
16.035661,16,11.451849
10.820491,15,11.506559
10.237079,16,11.561331
46.25487,42,12.661142
30.650974,25,12.736062
26.512624,31,13.888152
23.878154,34,13.984164
32.274048,35,14.94508
39.159204,36,15.892761
80.740603,60,17.13206
70.990604,42,17.257966
97.47704,59,18.588152
144.980527,85,19.919579
10.834012,32,21.20111
58.500444,56,22.536846
150.868443,77,23.808636
74.749721,43,25.061021
143.431548,115,26.65183
78.08291,50,27.88787
31.801346,61,29.301308
94.168679,54,30.613095
173.839476,150,33.937345
98.097263,58,35.326579
81.960228,48,36.48113
105.032139,58,37.742541
177.297273,89,39.293048
177.565245,90,42.040564
131.497198,69,43.234744
80.237438,47,44.432992
193.415336,96,45.840508
218.555004,100,48.506073
203.481012,91,50.024831
