#{"t_start": 1774890297.2709775, "env_id": "Hopper-v4"}
r,l,t
10.676389,23,0.886162
99.386092,103,1.072623
24.046478,27,1.120012
75.114134,48,1.222097
31.592838,34,1.297484
16.810622,17,1.338009
18.64363,28,1.412242
10.744056,27,1.484581
16.813101,19,1.542032
11.744535,14,1.577138
9.117615,19,1.629092
24.297704,24,1.699126
24.380135,23,1.766412
14.572953,14,1.804607
13.854583,27,1.880431
9.886199,16,1.925111
26.837553,38,2.034348
7.828884,12,2.070353
12.905749,15,2.115819
9.73958,35,2.205829
24.140091,32,2.284118
10.889709,16,2.330481
35.90274,45,2.450547
10.953255,24,2.511401
10.752363,13,2.542312
36.756474,30,2.620758
12.692263,18,2.672679
13.336436,20,2.728936
14.433526,17,2.778958
23.7483,28,2.860488
38.237988,35,2.955838
58.379594,48,3.083584
11.315967,20,3.140964
8.927784,16,3.182899
52.152801,40,3.292573
10.157004,12,3.321782
10.991997,14,3.360134
17.809491,38,3.451497
16.298246,17,3.50396
12.703807,19,3.556385
13.042175,33,3.645288
12.317051,15,3.682654
49.392391,36,3.785238
8.39858,11,3.821746
17.975326,21,3.871992
10.72951,14,3.899546
9.21582,14,3.933537
26.66143,29,4.004075
7.199821,11,4.03048
9.901193,16,5.652523
12.91508,18,6.880959
9.955279,14,6.939858
8.182215,14,6.997768
10.929145,13,7.053122
21.746454,20,7.127177
46.064583,34,8.341766
7.072829,9,8.377942
27.250554,29,9.740326
8.661675,11,9.786177
10.301814,15,9.844806
9.022079,13,9.896504
20.298008,25,11.375965
6.557793,9,11.411003
14.501296,16,11.468346
8.475747,12,11.512097
30.520013,53,12.649947
82.927012,73,13.923972
7.618231,10,13.951773
11.386077,18,14.876752
46.841394,37,14.963214
16.18156,22,15.878985
69.367037,57,16.006855
85.083106,51,17.261733
141.199601,78,18.643672
14.465731,43,19.857089
9.828777,21,19.917956
134.354081,75,22.492379
93.002458,62,23.731432
76.741216,64,25.032236
176.255189,83,26.529559
68.225761,41,27.740352
66.381504,41,27.864105
102.436692,56,29.272434
111.304046,60,30.593655
148.972869,95,32.537049
111.019694,61,33.935362
162.444794,79,36.395107
73.408508,51,36.542114
61.019978,36,37.74656
61.478283,37,39.139313
203.329896,99,40.688844
136.603029,75,42.147436
129.635642,70,43.344774
205.275669,97,45.803179
205.580325,102,47.235555
229.844561,110,50.056236
208.972393,93,52.501932
198.540244,90,53.839407
190.285102,94,56.428165
217.398132,104,59.562559
188.738599,86,62.088554
203.073164,99,63.448298
204.331534,91,64.809979
195.952684,93,67.406629
208.559876,93,68.878181
210.915199,93,71.362448
192.175427,86,72.565941
207.58891,91,75.20335
193.350714,87,76.64069
193.019314,90,78.110753
231.917688,101,80.878975
204.825149,90,82.319689
197.194664,88,84.723795
194.957522,88,87.69918
207.344436,92,89.731888
231.657906,100,90.770251
232.457716,113,93.485112
206.177269,92,95.039955
221.368608,96,97.555161
215.647793,93,98.930557
222.353977,97,101.419197
216.126415,96,102.776941
228.297359,99,105.126814
232.311593,101,106.410965
201.795246,100,109.16984
228.467859,103,111.784614
233.116519,106,114.445714
227.118536,96,116.776285
231.165457,104,118.15372
200.736133,94,120.331542
220.095245,103,121.855597
247.693359,100,124.314288
242.146891,107,126.770911
234.630787,100,128.089811
242.699879,106,130.505553
243.745743,105,133.035774
248.325662,106,134.386765
247.742793,112,136.961933
260.502108,109,141.286805
249.210573,104,142.578992
238.962275,104,145.391937
285.78695,115,147.950453
308.880273,125,150.540274
207.360086,92,151.914179
272.022086,107,154.599029
260.578181,119,157.528386
303.762139,117,159.225012
352.326181,124,161.709848
360.460614,132,163.897593
315.271766,118,168.130426
405.97741,165,172.064249
201.232252,109,174.349344
198.846208,105,175.914637
364.271594,133,178.738297
371.905703,133,181.105471
196.903781,104,183.690081
440.679706,177,187.418363
371.593918,137,189.68134
569.478425,210,196.514194
375.118873,142,199.470538
539.797756,185,203.464839
311.776918,117,205.968004
356.492492,137,208.548954
375.895015,140,210.871952
318.114711,131,213.484056
323.173344,125,216.226491
315.640596,130,218.835611
307.80928,124,223.279656
319.107985,120,225.931231
300.619218,122,228.528305
306.154392,122,231.111239
324.799963,131,233.769018
290.175074,119,236.384364
295.377713,115,239.181934
311.185156,125,241.632193
321.930818,132,244.160722
302.314968,127,247.056576
316.898605,129,251.953228
298.901836,119,254.664994
329.958543,128,256.964767
345.661165,130,259.720414
307.664871,124,262.371222
323.651724,119,263.74474
357.646965,135,267.506098
316.390513,125,270.297086
392.255433,140,273.06124
349.347388,126,275.902085
332.42009,120,281.501312
339.334429,126,283.816382
556.726541,183,286.801926
382.514674,136,290.73349
388.578406,138,293.163717
340.856485,124,295.758044
483.417239,162,298.393082
362.436294,128,300.897356
476.707555,158,304.360089
380.551829,136,308.97318
343.849447,124,311.262407
333.050171,120,313.805833
363.480695,136,316.426448
354.465426,130,319.188671
359.246999,132,322.02418
353.129605,132,324.846163
461.538903,156,327.506693
328.318673,126,330.138669
366.620629,132,334.083042
373.199412,133,336.860348
417.61145,149,340.532954
366.324956,132,343.039556
473.431654,162,345.703188
404.544981,142,349.613739
382.707318,135,352.330853
372.507352,132,354.880759
401.856977,139,357.290927
365.017667,129,361.68912
383.974176,135,364.187497
349.828783,128,366.895874
366.57462,135,369.741419
387.931114,139,372.411455
356.2239,131,374.970835
368.600643,133,377.720381
353.91602,129,380.602867
384.084729,142,384.348776
353.738122,128,388.851223
371.918696,135,391.823496
368.995913,131,394.280899
371.681481,136,397.216564
382.362313,138,399.787776
376.169222,137,402.52473
397.419836,144,405.098001
421.386969,146,408.606006
361.824844,135,411.429544
493.97976,168,416.746966
