#{"t_start": 1774890297.2674103, "env_id": "Hopper-v4"}
r,l,t
17.086105,25,0.893528
11.467727,16,0.922946
7.204443,12,0.943207
10.391499,14,0.967551
11.623001,23,1.007631
7.414332,13,1.03537
15.46742,18,1.067106
12.466954,17,1.097726
17.905519,33,1.164874
22.8281,22,1.211921
50.765754,39,1.291734
18.639898,19,1.338611
14.384532,24,1.400548
19.119001,23,1.464523
44.786575,43,1.583247
23.038065,27,1.659532
14.959294,25,1.729685
8.072495,11,1.763035
48.351953,43,1.883854
9.351674,16,1.928579
14.254092,18,1.981705
26.398034,30,2.066708
11.346254,13,2.108727
47.582959,55,2.249517
61.106534,60,2.402997
12.29794,15,2.447761
9.459621,16,2.491597
16.449916,30,2.564936
13.18333,20,2.61599
9.808447,13,2.649292
24.198636,23,2.717829
15.733757,21,2.777586
9.960678,16,2.82432
7.821732,10,2.854325
6.794638,13,2.892401
16.341334,24,2.955525
13.936164,17,3.002004
11.078026,19,3.054383
9.542549,14,3.08967
30.682482,41,3.201259
12.606675,14,3.238551
9.530135,15,3.280797
19.316559,17,3.324836
23.327206,24,3.388291
11.648951,16,3.424117
40.388835,34,3.520665
24.896775,23,3.586516
23.10973,29,3.660645
37.541414,35,3.758518
8.541506,11,3.78866
12.24661,29,3.868378
10.241887,14,3.898489
16.212919,25,3.958894
46.773619,45,5.649374
14.10849,27,6.910252
10.34845,22,7.001219
10.072801,13,7.056572
16.216417,17,7.119338
3.953433,26,8.301868
23.288095,27,8.40849
11.359784,23,9.74984
12.009214,13,9.800726
19.211335,19,9.875514
8.11139,14,9.93029
18.916056,29,11.425117
15.190907,19,11.492681
200.45431,106,13.853639
49.597009,39,13.965751
6.893749,10,14.866641
25.036274,44,14.970303
15.003901,30,15.909392
38.503779,44,16.003238
195.750581,124,18.62763
196.594519,119,21.249114
27.690378,26,22.490298
152.498218,164,25.151818
71.828793,52,26.549565
63.795017,41,27.758609
57.393351,42,27.885333
87.752841,55,29.286695
99.555295,65,30.625876
80.86272,46,32.45957
93.903654,65,33.816105
54.316974,33,33.930892
75.899613,45,35.277527
113.860191,90,36.553598
71.539432,42,37.777308
156.745759,79,39.297697
156.337721,85,42.028907
182.625196,86,43.279477
202.55017,96,45.717584
149.228555,84,47.109528
170.600257,85,48.618874
100.941912,62,50.0469
202.686546,100,52.514792
197.11144,87,53.842531
204.512315,90,55.308257
200.120003,89,57.933872
191.800362,86,60.908097
200.493348,90,63.371446
193.050099,89,64.71323
194.259881,89,66.095137
212.799298,97,68.786156
206.752962,91,70.156728
203.154837,93,72.494093
186.921989,85,73.861557
197.644556,90,76.55164
190.748597,88,78.015269
200.177673,89,79.52288
227.822161,100,82.247065
194.161102,86,83.507914
214.539142,96,87.655747
239.199599,101,88.879432
226.520331,98,90.724608
221.828695,99,92.183047
219.804226,96,94.957189
204.415791,89,96.339706
233.362389,99,98.841819
241.47041,104,100.287054
207.509155,93,102.70738
239.593561,106,105.066869
219.542895,94,106.351592
219.565133,97,109.069013
232.505682,99,110.509678
241.452027,102,114.357768
219.871868,98,115.700773
217.181476,97,118.033521
225.816165,99,119.157858
224.557046,104,121.746514
237.159345,104,123.155648
243.737917,107,125.542146
249.594607,107,128.028341
227.92963,102,129.424977
282.6909,115,131.936104
268.439138,105,134.325292
250.492083,112,136.905647
245.303984,109,140.255888
275.375155,113,142.548269
277.446149,112,145.385308
314.920104,129,147.990209
294.757161,121,150.565572
264.262935,121,153.220524
421.445602,158,156.167118
344.201719,126,159.149904
280.710939,110,161.616709
364.50095,153,163.864607
302.840685,116,168.080192
347.939156,124,170.7762
343.914619,124,173.125661
375.87597,133,175.870541
188.5335,105,178.617732
392.414426,151,181.03559
318.940185,138,183.717192
211.655171,113,186.235304
342.928898,126,188.571078
474.86291,174,192.134539
481.13026,177,198.059626
350.957866,132,200.697026
361.641352,140,204.586226
339.214191,131,207.114359
384.85436,146,209.534888
323.10107,122,212.190769
322.017615,126,214.639659
333.672401,129,217.276441
313.395014,124,220.037896
294.717087,118,224.427049
329.434614,126,227.114326
317.420018,127,229.749327
298.585731,119,231.167806
330.285261,146,234.995419
302.503585,123,237.744056
303.181639,123,240.273439
269.287256,116,241.7287
337.606687,141,245.553312
321.334615,134,248.439485
301.937808,126,253.325588
289.261427,118,254.805159
331.206725,130,257.104569
305.397756,122,259.874192
393.647614,146,263.586605
337.821995,124,266.182047
331.277003,127,268.812769
337.275266,125,271.625631
392.795676,143,274.477851
499.519015,184,281.516512
388.952832,141,283.878263
389.299189,138,286.732989
372.712035,134,289.46825
406.719982,143,292.148299
328.432718,118,294.493026
438.404827,148,297.2502
346.110475,124,299.717831
376.271291,132,302.367362
341.533444,123,306.669315
395.415855,140,310.187132
329.204226,118,311.403185
359.950444,128,313.977666
365.752789,134,317.753976
358.421937,131,320.540396
380.38842,137,323.420783
367.52168,136,326.103153
363.079329,132,328.947592
351.531914,128,331.068605
411.715921,144,335.462815
394.405911,141,338.106166
430.178064,147,341.792675
379.288734,137,344.329293
470.372174,159,347.057866
401.121428,139,349.801868
335.728203,124,352.450986
395.363819,141,355.958532
373.505855,131,358.35553
356.994041,126,362.805853
342.12975,124,365.462325
338.769095,124,366.985126
355.172476,130,370.985089
347.893717,125,372.444604
333.910749,121,374.977598
364.012873,131,377.720602
368.851243,133,380.615819
377.662012,135,384.33992
366.796999,130,388.848506
370.075433,135,391.82105
368.576102,130,394.275182
379.744425,138,397.216244
381.953641,134,399.775248
382.650856,137,402.513767
392.371764,138,405.076208
507.698541,167,408.636617
383.088381,141,411.482333
399.978465,143,416.729583
392.771894,140,420.623701
380.596506,141,423.633754
346.974129,130,426.016051
341.157443,130,428.554553
365.103389,136,431.404005
451.341806,159,434.144468
357.722267,133,436.760613
328.510899,125,439.339949
468.670811,158,445.438883
372.663504,136,448.1085
402.831792,140,450.732477
381.243278,141,454.012608
392.208453,146,457.810473
475.420407,163,460.512463
379.472141,139,462.962567
545.972492,179,467.226873
387.46272,143,469.886897
388.155481,139,476.042588
481.756796,167,478.942143
451.256931,159,482.881839
537.681264,182,486.618469
456.050973,159,489.308326
570.865178,183,493.045112
566.062581,195,497.248063
488.992418,162,502.843853
482.872914,165,506.294258
500.033068,167,509.975618
391.04706,141,512.6687
490.370684,165,515.078893
533.420701,179,518.892742
504.225155,168,522.898605
537.894624,187,527.038295
557.19968,186,533.498024
397.003347,137,536.376401
489.414058,168,539.064995
542.316386,177,542.600782
534.880759,177,546.604311
524.554807,176,550.161628
532.976103,178,554.387527
566.950897,187,560.388652
528.373213,176,564.412508
472.361685,157,568.339615
488.067831,168,571.187229
543.899175,178,575.21865
579.228268,187,579.125455
504.301078,168,582.698608
594.08757,192,589.446127
268.225841,131,592.31458
605.692321,193,596.322668
566.571197,183,600.402445
605.442549,194,604.990361
601.493042,194,608.89044
285.063141,126,611.244772
620.523022,199,617.999676
562.87942,183,621.903147
403.200249,141,624.828172
592.930265,192,629.112109
215.876543,113,631.733845
318.802146,132,634.360053
262.79517,124,637.075489
467.581727,158,639.581872
442.916175,153,644.780602
337.44015,122,647.221488
635.029882,208,652.197723
433.92989,145,654.65806
602.012901,194,658.536826
279.205128,124,661.029344
384.677439,137,663.676507
260.191706,117,666.285857
232.333104,107,667.765114
561.520151,185,673.180013
598.606484,192,677.452143
546.135823,176,681.728762
281.324846,129,684.220156
559.690718,182,688.50559
520.068926,172,692.466783
525.15978,168,695.308867
451.676017,147,701.998428
500.471358,163,704.970571
359.448494,153,707.775466
263.834547,111,710.506211
353.508852,132,713.194797
529.328493,172,716.893476
370.39005,132,719.437584
484.575279,158,722.171011
331.779799,123,724.668574
274.381898,112,730.003329
490.23105,169,733.670817
532.055166,173,736.328024
529.592936,172,740.355432
541.277346,179,744.362981
547.816912,180,748.19265
486.102052,158,751.358173
441.527247,154,755.425261
571.802241,188,762.473367
369.8999,135,764.914047
520.930221,173,767.692536
495.000567,164,771.818049
453.998387,151,774.491169
669.386173,219,779.895234
511.73879,166,782.836578
325.333508,124,788.009922
527.871361,173,791.717428
553.281103,181,795.857749
499.367127,169,798.587166
563.329312,183,802.478423
464.817608,156,806.284702
553.224267,178,810.014251
573.947552,185,812.816495
571.553438,186,819.302268
518.218316,175,823.078859
552.090467,182,826.838906
487.196722,165,829.611461
522.617533,173,833.255351
507.741128,171,836.815265
544.498273,180,840.845297
524.555218,172,846.18961
547.792212,184,850.334555
566.118965,187,854.288465
561.436751,183,858.527107
603.494206,201,862.482564
545.236682,181,866.177555
576.148905,189,873.144437
573.520362,189,876.912019
535.309326,181,880.925256
584.776442,192,884.840138
648.669448,209,888.822105
602.642665,196,893.005106
495.997197,172,896.216744
648.610424,207,903.864162
665.380609,214,907.438748
692.009831,223,912.770625
656.50264,221,916.744671
672.656912,225,921.800222
605.369788,201,925.789643
629.066585,203,933.240882
602.458483,200,937.055737
715.261726,234,942.150337
581.904897,196,946.189811
597.186212,200,949.981918
654.053091,217,953.89648
593.695472,196,960.884519
541.776416,192,964.778028
589.349426,199,969.748944
578.816441,195,973.77354
629.682205,202,977.551664
566.369799,187,981.378693
553.735578,181,988.304573
552.177046,182,991.075598
645.709529,212,996.073532
522.418047,174,998.720644
567.800865,189,1002.748856
591.26673,191,1006.657229
578.70345,187,1010.517014
523.437918,174,1017.383978
610.068049,195,1021.511395
611.103764,199,1025.645434
613.882922,195,1029.310877
603.621955,194,1033.062504
500.123064,172,1037.266761
745.140833,249,1046.349036
613.246282,200,1050.852643
757.200068,254,1055.76364
591.09145,192,1059.465579
632.123494,209,1063.721589
637.382155,222,1069.004943
629.701409,205,1076.462708
904.911907,403,1084.656737
622.440473,200,1088.341779
632.572705,200,1092.22145
663.573564,214,1097.364363
672.015764,212,1104.388578
740.732801,236,1109.755619
669.530317,219,1113.80851
751.605374,245,1118.882195
620.924254,205,1122.660782
665.241343,216,1127.808194
567.412474,182,1133.541741
667.667478,214,1138.726269
