#{"t_start": 1774836312.3027, "env_id": "Hopper-v4"}
r,l,t
8.720191,12,0.878031
32.644456,23,0.924695
22.72767,21,0.970119
32.121684,26,1.032768
9.413945,13,1.066547
5.372331,19,1.121436
7.995764,12,1.156858
14.948175,16,1.207364
17.189637,19,1.271167
10.685367,14,1.319433
12.550279,14,1.366227
26.681714,26,1.457194
6.426548,9,1.489792
9.772164,12,1.532781
9.236847,14,1.582365
12.159574,38,1.704358
76.731877,56,1.897531
30.297501,29,2.001581
18.151505,21,2.075476
34.739683,30,2.182893
8.490409,12,2.223375
77.465431,48,2.385034
5.332922,12,2.415994
10.744889,14,2.457123
45.028462,33,2.569425
8.201425,13,2.594486
8.334097,10,2.612581
13.460276,20,2.66194
15.863868,17,2.707373
4.670116,7,2.7288
20.609129,23,2.800188
16.213104,19,2.864828
17.112666,17,2.922469
6.80816,9,2.952458
11.709143,18,3.010705
7.518514,11,3.044758
6.760818,11,3.078462
7.391869,13,3.118811
6.018757,30,3.207756
10.795505,14,3.250988
10.457655,26,3.330036
15.963197,15,3.37504
15.88421,17,3.426872
16.908234,17,3.480548
5.532771,8,3.505837
6.938574,12,3.544756
7.791916,10,3.576571
4.841856,10,3.608185
21.69722,21,3.674923
7.46522,10,3.706239
17.533897,17,3.759604
8.564686,10,3.792525
4.418672,13,3.833186
6.551353,9,3.861769
12.16835,13,3.905148
12.586652,19,3.967074
30.167482,31,4.062856
9.822145,15,4.111515
24.022335,20,4.181257
4.989614,8,4.210062
12.266868,18,4.274734
8.388059,20,4.346307
49.933916,42,4.504604
92.83197,56,4.714235
19.300512,31,4.827368
17.786104,23,7.177716
11.888773,22,7.220656
8.59029,11,7.243278
5.191122,9,7.264317
7.607854,15,7.299828
4.902603,15,7.3374
13.7928,18,7.387331
9.0022,12,7.423324
24.941317,23,7.496612
12.672811,19,7.558945
15.840883,19,7.622298
12.061305,21,7.684141
13.783704,14,7.726293
18.898795,17,7.781235
8.066216,15,7.831914
9.400446,13,7.876022
60.554985,64,8.080366
9.926184,14,8.125742
18.400462,26,8.214342
35.742006,36,8.336612
11.168977,21,8.405916
69.859516,48,8.576913
8.031875,10,8.611804
9.179409,10,8.646633
8.48159,11,8.684194
9.77788,16,8.73843
15.534457,17,8.794219
27.32136,35,8.906925
11.76787,13,8.955429
10.932388,24,9.039243
7.251028,9,9.071128
24.123082,26,9.166329
6.825583,14,9.218036
13.10362,19,9.288532
14.889699,16,9.347013
9.384122,14,9.397309
12.904025,14,9.450698
11.292479,21,9.524345
8.183139,11,9.564292
18.38236,21,9.63904
11.897999,23,9.71807
55.773628,60,15.977879
8.025252,11,16.020151
28.61591,42,16.175928
9.127497,12,16.220758
9.324172,11,16.260233
6.303069,9,16.29412
19.755501,35,16.420488
43.4533,35,16.547599
14.672437,16,16.605565
8.891676,13,16.65244
21.287864,21,16.727901
18.390925,28,16.83272
7.413341,10,16.869253
16.832945,28,16.968644
89.896134,53,17.153643
14.168072,16,17.208993
12.564648,14,17.257945
46.438627,33,17.373385
35.749636,68,18.455528
6.305548,19,18.500199
31.553177,29,18.576072
31.434142,51,18.735739
2.36872,13,18.779214
22.476533,19,18.840266
10.587136,19,18.898307
57.241194,48,19.060846
27.124197,23,19.140571
22.155254,29,19.240108
8.022133,9,19.271794
12.637878,25,19.368252
15.090398,30,19.480557
44.370643,32,19.595172
21.029662,31,19.706574
7.449107,13,19.753426
168.723753,84,20.026197
22.127101,48,20.194629
29.69169,24,20.284636
9.40871,15,20.341398
5.472793,10,20.380185
6.988884,10,20.416447
39.746755,32,20.535743
7.847837,11,20.575838
25.788386,26,20.671148
50.645883,43,20.821187
21.716728,26,20.915482
12.161692,14,20.967094
27.612028,28,21.069333
10.143553,14,21.122107
7.466097,10,21.157595
26.617408,25,21.236774
9.246861,11,21.268957
49.618873,44,21.406563
6.048168,8,21.433195
8.584837,25,21.51554
11.760119,15,21.566233
57.485227,36,21.689156
11.693675,13,21.730201
9.889981,18,21.790574
10.897446,13,21.834607
8.967177,14,21.882415
14.461306,17,21.940057
9.42806,12,21.981542
11.682041,20,22.051769
18.741202,19,22.119224
13.968574,19,22.186945
21.68019,21,22.264232
11.338252,14,22.314267
9.184287,13,22.361741
8.184778,13,22.411559
53.920283,46,23.474452
17.975345,19,23.510403
16.845254,29,23.571195
18.264159,44,23.669815
45.908572,36,23.760716
17.073897,18,23.8127
11.24236,15,23.857619
16.204942,26,23.935259
75.616701,55,24.107592
19.996462,25,24.185906
11.167732,31,24.286716
9.442819,13,24.332098
10.116127,21,24.405463
9.728782,16,30.739046
6.386384,11,30.787612
26.861558,37,30.937924
8.229559,11,30.977109
166.307126,126,31.417786
22.339724,19,31.478463
49.390966,36,31.60463
16.352932,15,31.655307
25.401921,30,31.758493
25.302734,26,31.835521
109.259292,84,32.113224
17.208825,21,32.184248
7.305173,21,32.255457
17.197638,17,32.314226
8.134323,15,32.368127
113.254138,61,32.58223
23.121254,20,32.64977
171.225079,96,32.975882
7.751141,11,33.014346
45.884621,36,33.141054
13.888254,15,33.193015
122.696569,89,33.502844
10.580875,13,33.547162
11.362141,12,33.588422
76.481361,57,33.784531
28.976118,25,34.516161
11.025747,15,34.545181
72.95759,42,34.640247
12.766786,16,34.680252
16.68569,16,34.722924
7.365688,11,34.754458
19.030585,20,34.812726
22.134673,20,34.87236
35.056602,30,34.961227
33.199827,27,35.046261
30.072728,27,35.136745
9.298464,13,35.180332
11.404939,15,35.228838
10.821394,18,35.281406
27.490025,28,35.368619
42.077121,37,35.492606
48.982521,34,35.607795
97.853766,57,35.799052
16.499343,29,35.896072
12.617335,17,35.953999
14.198091,30,36.05599
8.519874,10,36.089942
5.016026,10,36.124943
20.944944,21,36.19608
9.028676,19,36.260338
42.860981,44,36.408268
6.29417,9,36.438426
8.505308,11,36.478022
11.898185,20,36.548532
17.507221,20,36.62146
100.1661,56,36.809584
61.442579,37,36.93916
12.16374,12,36.980023
15.437321,23,37.060519
98.513355,55,37.267131
104.590377,78,37.533752
14.093511,18,37.59402
26.411375,23,37.670346
17.862915,16,37.718969
12.646805,15,37.763342
21.458941,28,37.850717
50.28496,37,37.971591
96.761763,64,38.179741
60.651546,60,44.603435
115.521135,82,45.440842
74.891215,45,45.541426
107.583792,59,45.711694
126.213028,83,45.970188
114.268146,61,46.177793
180.569,110,46.553569
183.553186,96,46.871358
132.71159,93,47.175131
7.829963,9,47.205203
62.078841,37,47.333249
265.708824,115,47.725353
57.661449,39,47.855434
97.50712,61,48.051221
167.589804,79,48.317381
23.817224,21,48.389648
252.245369,130,48.834462
89.673505,57,49.025409
164.356589,94,49.334496
79.954655,46,50.040313
79.793695,47,50.134921
125.091166,64,50.293862
63.796812,38,50.40719
113.345839,71,50.630282
18.252236,22,50.70437
10.875041,12,50.745615
18.318578,18,50.805831
61.382311,36,50.928228
90.913533,51,51.101836
91.845539,57,51.3052
87.881911,53,51.460941
93.422259,52,51.626302
91.137369,75,51.876995
98.849118,54,52.058253
42.334456,29,57.869029
72.706657,43,58.041653
170.385874,90,58.361519
131.026256,76,58.61678
197.310857,98,58.9451
107.517386,67,59.171524
197.728786,100,59.513195
91.630613,60,59.711361
93.057861,53,61.474447
21.186652,19,61.50902
103.183536,58,61.644314
219.250545,97,61.933082
92.868319,57,62.113438
114.572752,68,62.331604
75.654712,45,62.479561
192.019463,95,62.797163
68.331471,40,62.932901
222.52933,106,63.291073
148.228047,110,63.646104
27.627096,23,63.722864
174.146266,101,64.060615
74.788676,48,64.226861
122.816558,66,64.448042
241.587948,121,64.841539
84.576066,48,64.991733
154.546182,78,65.245399
180.585631,89,67.092597
145.731401,85,67.306557
183.747216,88,67.557023
205.730626,103,74.074445
243.113324,122,74.481122
191.647973,89,74.785058
229.284192,105,75.123717
219.494685,98,75.447075
72.444123,44,75.596297
260.287549,125,75.997557
232.620371,112,76.373403
94.476445,66,76.605933
224.010241,112,76.985784
167.749504,95,78.851659
89.817177,56,78.986468
128.94046,67,79.184466
271.43622,141,79.665649
253.751313,124,80.073554
197.601192,117,80.468603
67.535188,40,80.604658
246.852279,108,80.961326
223.280341,99,81.272119
221.503853,101,81.601441
144.262101,75,81.842993
83.53175,49,81.998429
236.501089,115,88.536027
331.812999,162,90.828169
331.954047,132,91.168413
244.194595,106,91.493959
163.195749,89,91.770329
274.799284,133,92.206398
218.837666,103,92.551309
208.869447,96,92.875925
219.59385,98,93.205847
248.274161,113,93.584839
298.959167,145,94.057179
274.437329,140,94.530495
88.1092,53,96.510543
106.6445,62,96.626796
243.456635,114,96.929112
225.588916,97,97.225124
256.489259,120,97.634281
245.861964,125,98.065438
266.524557,129,104.404036
312.353877,143,104.888448
285.436434,120,105.281907
260.479511,123,105.676969
225.446992,103,106.021638
242.451569,115,108.281405
336.741033,143,108.634263
277.722458,125,109.041923
253.738545,112,109.405874
307.088171,133,109.86121
248.460191,129,110.315466
307.134334,134,110.761798
223.260933,108,111.1251
276.034456,131,111.553729
68.705084,44,111.6963
322.504652,138,112.146621
280.248302,127,114.379815
311.038094,145,120.732433
235.404788,112,121.111441
261.841421,113,121.507965
302.700434,125,121.9263
250.736643,114,122.20876
268.486726,113,122.57495
314.609083,139,123.009427
229.517736,108,123.31591
257.859861,121,123.674031
332.113947,139,126.076524
340.004358,141,126.454159
318.819633,138,126.878093
291.637586,137,127.318495
229.443413,110,127.686114
277.727872,122,128.08713
246.109216,109,128.436905
310.399807,121,135.115739
305.122193,133,135.596461
304.287398,139,136.075867
305.075188,132,138.359689
280.189147,132,138.754575
332.778622,139,139.164618
339.613713,143,139.626106
322.685642,134,140.077958
368.872159,163,140.617363
314.326703,130,141.071623
312.233082,135,141.548133
317.584917,129,141.982358
305.399518,129,144.266373
303.322672,136,144.660382
305.343724,131,145.080146
354.941328,151,151.631495
256.997172,115,152.059182
315.685441,128,152.430145
322.732967,133,152.869169
286.15752,113,153.263842
376.997619,149,153.766027
330.484737,130,156.159957
338.467569,153,156.521822
314.141324,129,156.941546
313.312248,128,157.388031
257.523079,129,157.822826
306.81273,126,158.207021
317.349194,132,158.639213
345.098613,132,159.117254
337.676376,143,159.613291
90.218909,52,159.793508
376.631393,142,162.110751
318.2008,137,168.768751
361.897307,147,169.24362
377.913486,141,169.697145
307.8546,135,170.160148
311.539329,120,170.57771
300.347627,133,171.025554
329.247434,141,171.492127
325.425482,121,171.896892
372.437365,146,172.351527
292.397296,123,174.616278
343.32379,142,175.079628
221.06746,104,175.416016
348.616913,141,175.847281
353.71725,154,176.371124
354.045018,140,176.843064
353.565846,141,183.682283
364.617368,138,184.150826
343.941202,133,184.580258
324.758235,129,187.021901
319.487863,130,187.38869
346.511965,143,187.835135
318.561695,134,188.259943
353.814083,148,188.745085
329.991559,133,189.208012
330.863401,127,189.629229
344.383926,136,190.077244
324.294582,134,190.517959
304.864739,122,192.971735
302.024895,121,193.256858
352.427839,143,193.717853
364.054133,134,200.429089
354.488569,138,200.895289
345.982171,140,201.371338
317.664593,130,201.789133
186.542276,89,202.068109
307.594295,122,202.468656
360.62708,138,202.92041
347.620074,136,205.518493
381.993391,146,205.946353
349.585648,140,206.402162
318.992092,132,206.833262
373.591617,153,207.292096
328.649337,130,207.698376
311.16495,129,208.106933
408.401102,160,208.649687
342.794285,130,214.965381
393.341673,138,217.53313
395.073029,139,217.924191
385.169869,141,218.389719
311.692925,138,218.83565
337.833347,144,219.319325
358.743815,145,219.836783
359.106546,132,220.267304
362.197273,144,220.731483
326.690223,133,221.143964
390.176823,144,223.663974
354.19091,143,224.10185
364.416221,137,224.572695
327.077137,131,225.006449
371.400799,137,225.42584
340.019307,137,232.085057
354.418681,128,232.519497
401.916078,150,233.04095
510.095138,184,235.80075
395.409081,136,236.08965
437.569587,151,236.535966
