#{"t_start": 1774834622.3942308, "env_id": "Hopper-v4"}
r,l,t
12.999992,16,0.889109
12.373424,18,0.924873
37.735912,53,1.046793
78.243229,55,1.205127
6.996946,10,1.239195
28.093913,25,1.32429
9.77453,33,1.433836
5.838381,9,1.463925
8.009361,18,1.528107
25.282467,21,1.600132
11.222311,33,1.715453
7.996968,18,1.774371
7.830818,10,1.803617
9.347906,23,1.872702
11.459757,13,1.912411
10.124059,14,1.959101
18.825182,22,2.035992
15.859824,17,2.097402
79.006355,50,2.272965
13.771779,17,2.333207
24.011125,34,2.453701
10.640997,13,2.500196
18.204539,21,2.575731
7.223513,10,2.611313
12.96331,24,2.699117
15.258725,32,2.815566
5.370999,10,2.853426
4.82018,9,2.888364
9.156285,16,2.945167
15.425334,16,3.003473
10.202859,17,3.06591
10.376398,23,3.150392
11.868522,17,3.213552
11.485435,15,3.267963
9.642509,14,3.321646
4.776339,26,3.418088
8.640319,12,3.46207
6.246514,9,3.495616
6.0991,8,3.526395
8.734142,11,3.565642
13.452441,26,3.661517
8.138817,10,3.694428
7.60168,11,3.730195
11.684275,15,3.78234
6.645618,11,3.821082
9.902822,12,3.862928
16.648699,17,3.921756
15.093226,18,3.982949
10.792536,17,4.042985
6.692365,10,4.07919
6.287982,8,4.107893
45.576981,48,4.277523
19.662401,27,4.376789
22.98174,24,4.464302
7.751404,10,4.50089
7.299684,12,4.544027
5.037458,7,4.568588
7.470476,9,4.600363
10.974819,20,4.671164
17.254563,19,4.739012
10.732047,21,4.81257
14.569466,20,4.882793
8.181858,11,4.920796
6.129122,10,4.955175
8.916886,11,4.99296
8.782939,15,5.046067
19.065898,18,5.10677
12.137011,19,7.855263
10.292779,17,7.886899
11.203973,20,7.93242
24.007433,22,7.98545
6.115669,9,8.008124
10.649133,13,8.044132
28.356965,30,8.135761
8.521116,16,8.188627
7.155235,10,8.222895
12.903846,25,8.308133
10.476569,15,8.355787
27.741509,25,8.437772
11.716839,17,8.494711
8.296899,12,8.536019
8.062569,15,8.587687
6.591506,13,8.631723
9.162854,15,8.682102
6.321497,12,8.723515
18.413344,23,8.803373
11.014882,13,8.849416
17.156745,20,8.920182
42.441909,39,9.057452
9.35577,17,9.116289
9.107696,14,9.164653
4.759524,15,9.218118
5.285591,26,9.304679
7.386805,12,9.346199
15.945717,22,9.427106
8.571255,14,9.480179
66.499223,59,9.696486
9.02097,12,9.740169
12.857032,19,9.807779
10.477396,17,9.869057
13.466232,19,9.936626
6.555697,12,9.978979
5.131483,10,10.015437
117.070715,85,10.304776
47.797472,35,10.422012
6.556122,9,10.453777
14.706013,16,16.711785
10.950543,14,16.774265
65.864459,63,17.020491
74.307792,53,17.211726
11.864709,14,17.263058
13.618814,15,17.31665
127.023643,83,17.593256
7.627856,11,17.617605
100.889291,89,17.865838
6.246902,9,17.892263
14.23841,15,17.939436
7.544823,16,17.989725
8.932096,24,18.073258
31.393514,29,18.175801
30.792852,27,19.048881
27.14946,29,19.103478
8.059324,24,19.156856
12.360117,19,19.203609
9.454694,13,19.238433
83.723106,49,19.381011
7.577307,13,19.421662
13.961413,15,19.469797
16.326674,17,19.523859
35.957644,27,19.615723
6.51749,9,19.64407
14.237089,15,19.695079
9.300803,12,19.735355
7.730273,9,19.76508
24.775786,22,19.840591
7.651925,10,19.874984
6.898122,9,19.90705
14.985046,23,19.988574
32.867489,28,20.088036
8.123241,15,20.14144
37.586045,33,20.257098
10.300211,15,20.306847
11.829304,13,20.347225
26.260637,25,20.428995
11.396507,22,20.504673
22.3285,21,20.577029
19.044081,28,20.675212
10.375621,27,20.769222
11.867085,18,20.83045
10.735029,15,20.880633
17.275676,17,20.940002
6.773982,12,20.981457
6.909414,9,21.011992
10.746798,14,21.060384
8.269327,20,21.128413
17.515434,23,21.205865
11.428958,15,21.257911
20.977065,24,21.334834
52.567299,37,21.447212
45.207563,57,21.638344
12.095713,31,21.743351
13.090911,14,21.790069
11.739361,18,21.850879
49.337628,42,21.992444
12.6454,23,22.072083
9.583763,13,22.118664
54.635563,40,22.255223
26.193624,25,22.338897
21.567328,23,22.41772
15.13725,17,22.476405
25.341953,26,22.56625
10.6748,17,22.624918
17.311421,24,22.707821
18.827228,19,22.766629
7.119252,24,22.830503
8.425843,16,22.87017
8.639578,13,22.906501
10.745166,13,22.945721
5.647265,8,22.970592
9.639708,16,23.021515
14.880656,16,23.854283
31.134211,29,23.908175
16.426622,18,23.946098
15.433773,17,23.984559
37.038134,42,24.095555
7.140276,18,24.149226
37.825545,36,24.260419
9.138485,11,24.295346
16.199281,22,24.363731
52.746937,46,24.51256
22.739203,21,24.579381
26.601857,35,24.691538
17.988507,32,24.792366
8.239328,12,31.142595
115.589661,96,31.514521
15.374183,16,31.57142
9.267356,14,31.621403
28.402514,28,31.719773
11.837362,15,31.774365
96.037938,64,31.990304
50.169385,42,32.128811
11.962582,14,32.178107
6.490961,9,32.209444
80.570616,46,32.365174
47.30435,47,32.525493
6.597621,17,32.583594
34.621126,27,32.674624
119.072822,70,32.908976
13.645731,16,32.96091
112.541125,62,33.165329
149.826028,79,33.411217
94.683527,60,33.617482
111.945535,71,33.863219
27.889907,29,33.965995
72.363416,45,34.122058
267.306969,163,35.148465
6.265594,10,35.177838
26.036315,23,35.246234
32.927705,33,35.349422
80.277066,51,35.504836
145.388038,108,35.856534
20.441052,29,35.95567
33.657389,28,36.050418
36.287767,31,36.153744
139.119214,84,36.429907
57.61325,46,36.582545
77.261457,51,36.753257
16.107478,17,36.810525
20.97927,21,36.882183
6.423431,11,36.920753
68.254597,68,37.144966
91.587846,53,37.318259
20.714667,20,37.387258
58.808874,34,37.503508
7.263527,10,37.537465
12.854586,15,37.587715
30.440723,25,37.673612
72.419085,66,37.895287
11.609685,15,37.944281
17.731447,19,38.005334
107.682612,60,38.198554
8.519792,12,38.23655
43.040544,32,38.337897
5.604805,10,38.370633
103.622455,56,44.735835
113.223275,60,44.963442
43.000649,40,45.643214
64.311998,46,45.731776
115.098515,62,45.885716
150.656157,81,46.127107
90.235766,57,46.300282
99.980235,61,46.4937
109.507749,62,46.682213
7.958244,10,46.713672
75.324604,43,46.849184
139.097124,104,47.185831
90.104053,52,47.350651
40.762467,31,47.452384
112.000588,79,47.714367
17.066181,17,47.769056
63.436845,38,47.897207
102.932363,65,48.110213
92.203799,51,48.278723
25.246894,19,48.340722
20.789679,21,48.411813
129.35025,65,48.644944
72.134459,41,48.790621
65.249407,46,48.952636
149.333316,100,49.292675
156.202346,90,50.121735
247.298514,116,50.394799
118.706178,64,50.590184
120.783628,66,50.808771
56.672801,35,50.926702
201.625526,125,51.368108
16.162062,35,51.486437
77.320057,45,51.6401
13.111871,15,51.693762
67.574265,40,51.836313
10.843426,23,51.918571
8.649107,13,51.963456
64.320086,40,52.100935
108.17715,61,52.305887
11.033303,15,58.47182
140.092972,74,58.75834
90.014975,54,58.952972
220.27109,103,59.326328
141.771687,79,59.572621
106.715606,57,59.73736
152.258385,74,59.972472
107.429813,57,60.159798
94.008575,54,60.889663
86.99474,53,60.985414
231.399301,101,61.263962
162.736444,87,61.561213
89.857623,53,61.750996
122.132201,73,62.010904
149.496037,79,62.286751
168.733124,80,62.571879
16.968675,19,62.639227
84.341595,49,62.807195
179.414701,91,63.113801
78.986812,49,63.286669
193.624212,105,63.651883
113.095307,60,63.844561
94.877761,53,64.012839
139.082736,70,64.225476
148.448423,81,64.483446
184.635502,95,64.788103
177.647614,92,65.590375
59.653263,36,65.667017
180.661435,86,65.901562
224.037599,110,72.293785
82.064069,47,72.471821
173.755534,89,72.772301
247.458233,123,73.184455
115.019612,63,73.402667
119.433992,66,73.621171
236.988755,120,74.017824
211.736451,98,74.340861
229.713643,119,74.721688
