#{"t_start": 1774834622.3964434, "env_id": "Hopper-v4"}
r,l,t
8.432264,11,0.876552
3.670817,7,0.891103
19.012066,18,0.926992
11.278362,13,0.953654
12.514005,22,1.005701
33.912266,28,1.075277
51.621647,38,1.187124
6.811494,19,1.251241
28.465188,25,1.335918
97.73368,56,1.525782
23.601513,22,1.601609
22.57677,23,1.682144
11.042355,23,1.75989
14.315277,33,1.857512
7.789014,10,1.888244
12.135941,22,1.961177
10.472412,12,2.002435
7.95199,16,2.059588
25.655841,28,2.156875
9.163535,16,2.211637
9.51243,11,2.252327
5.022468,9,2.284831
10.564464,17,2.345078
17.280306,19,2.412757
23.127512,29,2.516807
9.222702,12,2.559285
49.175659,42,2.711566
8.323559,12,2.754769
26.691361,28,2.859913
14.087125,15,2.914773
8.549105,17,2.976064
14.141765,17,3.038059
10.609871,14,3.089009
6.79256,15,3.144711
29.556622,28,3.24768
8.7105,15,3.303712
11.365162,20,3.378785
25.910496,23,3.463742
6.021828,13,3.514138
24.328088,24,3.601318
6.491778,11,3.642535
10.881709,14,3.688743
16.156576,15,3.738561
10.296916,20,3.808352
12.135433,16,3.864579
7.757887,10,3.898839
12.777735,14,3.946312
8.27708,12,3.987869
14.461505,13,4.033792
8.892271,11,4.073277
20.382188,45,4.236908
19.265876,18,4.296046
16.223943,26,4.392565
10.133479,14,4.444129
16.699082,21,4.519986
35.763747,37,4.651443
8.405993,10,4.687614
52.692129,38,4.820778
13.941131,17,4.880356
6.288805,9,4.911586
15.682273,15,4.962972
15.82535,16,5.019878
5.395735,9,5.050877
14.596152,19,7.823601
9.543663,13,7.846834
20.667531,17,7.878833
10.7591,14,7.909105
8.22114,11,7.935152
9.245092,17,7.975588
49.122367,43,8.095726
8.601929,10,8.126892
8.875802,19,8.189756
50.244906,53,8.366651
27.328631,23,8.442406
7.836182,14,8.488971
30.751457,27,8.5814
10.989852,22,8.656359
9.881728,30,8.759909
8.730339,12,8.800915
7.2537,10,8.836497
6.515888,10,8.87237
20.722386,23,8.952319
16.627151,34,9.072484
6.225278,8,9.099705
8.763329,12,9.142889
7.907675,11,9.179525
11.485405,13,9.226444
11.26728,17,9.283422
9.46738,12,9.321994
7.356077,10,9.358248
46.013109,38,9.50151
13.796294,18,9.567838
18.203368,20,9.640126
19.305811,18,9.704875
14.720481,20,9.777383
11.430576,13,9.823722
11.687121,16,9.881393
9.251062,10,9.916629
9.105132,23,9.998481
7.49205,12,10.041398
9.828556,13,10.086522
26.40392,40,10.227338
13.917992,13,10.268506
10.62739,13,10.309363
7.427182,11,10.34453
86.090611,59,16.763075
5.059658,10,16.80736
6.273932,8,16.840549
55.273884,36,16.978668
37.075941,30,17.0867
15.592804,16,17.144465
21.391435,29,17.250377
11.483138,14,17.299897
28.570504,37,17.440106
12.836952,21,17.514612
48.127003,43,17.622168
67.10914,46,17.742634
11.283242,19,17.799241
30.282149,24,17.872662
11.567135,14,17.915682
51.341263,45,18.06315
4.792773,10,18.098341
10.585464,26,19.006151
11.22442,19,19.041043
69.770351,66,19.178919
18.543668,22,19.236317
11.136975,13,19.272997
29.950692,28,19.353683
7.003701,10,19.385396
13.153489,14,19.429975
8.767354,14,19.474437
130.639196,90,19.773199
28.906833,27,19.865799
17.430924,25,19.954527
130.090927,67,20.189679
13.4101,16,20.247641
7.351088,10,20.281796
45.445525,41,20.413571
17.147543,23,20.491776
16.623849,18,20.553348
12.353448,29,20.656252
6.602471,16,20.710434
13.769808,22,20.78792
59.272365,36,20.910698
21.641733,27,21.002837
60.335528,70,21.242124
46.249079,42,21.375531
13.330783,15,21.421062
22.173329,25,21.499677
24.184387,26,21.587713
137.356316,77,21.848826
13.654991,33,21.960784
16.458349,20,22.029023
46.550617,48,22.195254
12.456045,15,22.246398
15.137008,26,22.333049
14.114195,32,22.443771
8.394151,12,22.484999
14.856872,15,22.536516
45.097925,33,22.650678
14.743589,16,22.705638
16.82609,23,22.774181
7.730779,12,22.808109
25.308236,34,22.895508
14.993698,21,22.959317
14.617821,19,23.019447
25.445826,25,23.868951
14.125725,15,23.896703
29.765268,37,23.975328
11.197342,21,24.027429
94.105241,63,24.210608
9.133942,16,24.261872
9.881023,12,24.299731
32.894643,30,24.393468
34.954016,33,24.501113
11.923653,33,24.606709
9.105003,20,24.670407
76.488176,61,31.188063
86.736914,57,31.412208
85.538358,54,31.604472
13.352109,22,31.683145
12.227601,14,31.733462
24.566168,42,31.877721
11.62839,12,31.919539
176.233341,81,32.190002
13.859503,32,32.29864
9.726398,14,32.345963
13.573916,19,32.412296
20.906256,33,32.523405
98.386086,56,32.713443
49.274167,38,32.840461
23.460339,20,32.906839
8.036827,12,32.945803
9.78505,12,32.984797
70.14166,41,33.119756
91.946935,58,33.303894
136.884148,95,33.619566
108.582317,62,33.833736
114.396034,68,34.073171
60.840157,62,34.88079
27.112084,24,34.926169
50.086048,41,35.015742
24.05933,23,35.071971
94.50358,56,35.231599
43.119956,37,35.347271
13.340408,17,35.401904
104.503557,63,35.590663
74.951527,66,35.809783
57.907677,35,35.929652
30.029176,24,36.011141
182.763053,94,36.321658
65.047131,38,36.449123
105.921037,66,36.668031
9.31521,12,36.707711
66.41993,41,36.845582
126.022546,80,37.114065
31.833117,31,37.215246
82.064921,53,37.392555
61.468276,37,37.518267
9.106727,11,37.555386
64.947137,43,37.701914
25.258376,22,37.774694
21.431723,25,37.859399
62.066543,41,37.993575
18.226243,17,38.04782
60.778315,44,38.18981
60.196624,54,38.362251
12.309677,17,38.416161
142.992123,102,44.965263
109.259465,58,45.675652
144.165015,82,45.864225
77.435556,46,45.999009
66.712461,40,46.118904
125.038662,71,46.336809
39.419891,33,46.440655
158.92156,88,46.711522
146.045375,92,47.00666
20.37647,22,47.076643
93.625356,57,47.258567
55.451929,33,47.365254
159.691166,78,47.624416
142.273548,72,47.859448
152.408108,95,48.173525
73.020512,77,48.431557
114.974549,59,48.642838
133.558092,71,48.893779
100.682527,56,49.083747
61.090749,37,49.20921
70.203906,42,49.356387
26.820565,28,49.444025
27.790292,26,49.526192
140.154521,82,50.251471
22.376473,22,50.311031
80.826712,47,50.443418
78.776488,54,50.61416
119.831732,63,50.823521
94.336968,70,51.065846
117.548995,69,51.310363
66.757604,40,51.447796
23.970652,22,51.521041
55.957422,34,51.638171
111.44326,70,51.888414
68.794401,41,52.030178
53.462116,51,52.205163
193.600993,97,58.674748
149.942296,91,59.003159
60.349447,36,59.132841
83.144152,46,59.302029
38.998998,33,59.421979
66.930038,40,59.539279
163.302758,85,59.785535
316.119187,142,60.243846
91.088258,51,60.928902
171.378223,83,61.117558
150.21333,78,61.365182
108.95224,58,61.56696
248.886534,111,61.963386
71.147175,41,62.107079
73.803753,43,62.255663
139.862878,75,62.52334
64.713883,38,62.65915
116.166444,63,62.874218
71.107118,43,63.0176
134.410604,75,63.277171
91.187692,64,63.501589
97.939237,65,63.722441
90.425313,57,63.903061
190.111152,90,64.179173
39.427424,31,64.27946
81.926668,48,64.430875
60.191156,36,64.5449
83.941177,49,64.703884
153.479313,76,65.512001
193.161303,88,65.688562
131.568554,71,65.884125
82.2037,48,66.040251
86.281772,49,72.219951
267.172544,139,72.719571
232.89714,101,73.058501
197.477289,95,73.382654
261.290553,139,73.845711
154.793956,80,74.111341
76.875025,45,74.259998
265.994611,119,74.634007
286.8684,124,75.058878
226.024984,109,75.401182
236.872064,107,77.197838
255.26095,132,77.561398
107.622641,60,77.761815
198.120986,93,78.074528
79.459654,46,78.232794
188.622432,89,78.538709
267.358929,120,78.962663
258.689453,114,79.353683
152.40244,79,79.616649
92.916479,56,79.800273
274.94174,124,80.212522
232.849447,127,86.781161
222.702873,107,87.140536
302.330254,126,89.052919
210.358806,96,89.339863
243.913927,104,89.657446
372.414774,152,90.172427
18.264071,18,90.232793
225.406585,104,90.564048
148.121115,74,90.803233
270.629917,140,91.247844
84.607506,49,91.411902
188.699068,99,91.739509
274.777734,123,92.116458
217.079397,100,92.454319
243.21713,116,94.433323
211.237181,97,94.636128
262.474676,125,95.029195
227.478138,102,95.372867
173.42935,87,95.661166
270.013337,111,96.034413
20.452045,21,96.10441
243.980802,103,102.661906
235.8495,110,102.954471
259.175014,114,103.341182
41.184965,34,103.456476
244.791821,107,103.813635
240.492351,108,104.17513
92.374282,52,104.347388
225.890714,108,106.333906
