#{"t_start": 1776926592.4973364, "env_id": "HalfCheetah-v4"}
r,l,t
-385.557376,1000,2.848099
-333.559199,1000,17.300883
-435.173138,1000,37.657122
-565.596675,1000,52.351279
-365.081097,1000,59.988152
-383.290824,1000,74.243938
-274.309216,1000,93.545837
-369.512142,1000,108.099883
-250.229587,1000,128.190714
-283.548518,1000,130.228931
-310.518355,1000,149.814366
-321.01195,1000,164.345478
-291.361654,1000,184.247425
-268.843417,1000,198.937693
-162.882759,1000,206.545385
-308.598747,1000,221.264432
-181.480429,1000,241.313115
-322.956748,1000,255.90927
-291.20082,1000,275.575996
-181.666269,1000,277.774088
-235.842831,1000,297.819552
-281.354941,1000,312.520281
-271.120764,1000,332.808831
-253.603985,1000,347.499262
-206.743314,1000,354.667913
-285.657484,1000,369.272008
-236.379713,1000,389.372364
-264.952253,1000,403.845256
-260.115721,1000,423.325416
-213.856349,1000,424.94229
-349.685515,1000,445.395896
-149.252204,1000,460.10352
-270.21851,1000,480.630327
-240.269983,1000,495.274985
-185.81341,1000,502.890989
-157.574757,1000,517.663792
-169.17976,1000,537.930618
-185.086656,1000,552.865643
-212.710024,1000,573.087193
-155.33155,1000,575.287984
-142.711197,1000,595.261488
-129.77982,1000,610.216427
-167.983874,1000,624.715961
-129.281033,1000,644.447868
-179.603582,1000,646.604895
-125.058165,1000,666.76189
-221.590632,1000,681.367794
-131.83378,1000,700.995492
-142.955939,1000,715.657161
-47.130069,1000,722.674891
-91.26615,1000,737.39879
-173.878558,1000,757.312761
-62.151433,1000,771.661899
-19.538783,1000,791.539827
-111.162488,1000,793.301235
-59.438447,1000,812.870952
-179.510714,1000,827.121433
11.026136,1000,847.054093
-0.637123,1000,861.562311
58.578386,1000,869.046603
81.610516,1000,883.699714
111.564011,1000,903.876142
45.327401,1000,918.351969
82.885147,1000,938.225145
-7.526075,1000,939.868165
16.099731,1000,959.65748
195.460787,1000,974.203516
196.984877,1000,994.439982
196.392563,1000,1008.8875
233.128525,1000,1016.116889
218.543693,1000,1030.46175
293.694718,1000,1049.842413
214.939492,1000,1064.657811
263.869468,1000,1084.894327
127.268227,1000,1087.0173
384.114061,1000,1107.048166
367.957884,1000,1121.460874
293.768564,1000,1141.422015
445.504741,1000,1156.045898
297.244033,1000,1163.228623
448.066679,1000,1177.857207
347.359932,1000,1197.477048
408.000366,1000,1212.058774
537.885697,1000,1231.782605
383.750468,1000,1233.943153
503.274234,1000,1248.497452
532.344017,1000,1268.106676
628.514239,1000,1282.512666
551.161427,1000,1302.791687
650.761142,1000,1304.383241
666.714233,1000,1324.667412
548.940346,1000,1338.753913
685.800454,1000,1358.613671
729.831303,1000,1372.863805
681.335062,1000,1380.325263
729.858943,1000,1394.682694
834.030435,1000,1414.258063
803.578035,1000,1428.865756
661.35049,1000,1448.765706
701.111682,1000,1450.784594
862.85311,1000,1470.611156
868.451089,1000,1485.116152
805.403657,1000,1505.040736
902.309482,1000,1519.532758
858.444175,1000,1526.939343
609.231336,1000,1541.088981
717.047576,1000,1560.613806
910.309374,1000,1575.010279
668.532391,1000,1594.486689
970.194334,1000,1596.604178
876.74756,1000,1616.672636
896.485226,1000,1631.14465
894.101326,1000,1651.19349
942.153546,1000,1665.735295
791.138739,1000,1672.407399
1026.628573,1000,1686.444165
1038.228604,1000,1706.377669
993.999428,1000,1720.672213
936.30714,1000,1740.476739
984.754783,1000,1742.683506
845.734479,1000,1762.680829
1002.573287,1000,1777.214088
1022.627267,1000,1797.374553
989.892996,1000,1811.913342
1026.027393,1000,1819.575517
965.531914,1000,1833.912693
