#{"t_start": 1774881954.143653, "env_id": "Hopper-v4"}
r,l,t
6.811859,26,1.198292
7.050289,11,1.21657
47.504055,39,1.285026
20.531199,29,1.337135
9.11828,18,1.368602
9.622288,20,1.412649
10.196029,11,1.435087
10.407007,12,1.459622
12.241126,27,1.528995
116.206628,71,1.708792
14.677051,18,1.75961
8.925736,15,1.798733
9.907655,21,1.86036
6.604762,12,1.894576
24.657179,26,1.954544
14.770755,20,1.996529
15.439336,21,2.041886
12.065214,15,2.080284
17.876791,26,2.134531
11.647952,34,2.217502
6.997147,10,2.242509
9.719904,12,2.272605
10.827286,21,2.329214
19.635789,21,2.382467
8.237786,11,2.410307
14.425578,18,2.456018
12.95659,17,2.498227
11.088365,15,2.537733
9.196023,12,2.56866
20.564363,19,2.617221
10.451563,18,2.667037
18.93782,17,2.713546
13.765851,18,2.765428
15.421127,34,2.857981
15.605724,17,2.898832
8.031684,11,2.921453
18.65744,19,2.953995
26.189454,40,3.047479
8.098316,11,3.076199
17.744204,18,3.111327
11.656394,16,3.149658
34.759622,40,3.24876
4.689786,7,3.268135
117.569055,69,3.404208
5.859431,9,3.420994
11.119799,20,3.466008
12.209807,18,3.499087
10.460295,13,3.520632
15.426034,23,3.561403
14.686289,17,3.595271
8.534875,10,3.617259
13.034051,15,3.642829
4.414055,9,3.661479
11.601313,15,3.692595
8.876742,16,3.722532
12.218196,15,3.749951
12.557468,18,3.785027
43.409761,42,3.878661
32.239674,40,3.970597
10.647311,15,5.151323
14.081725,15,5.18073
32.1714,26,6.380045
11.476207,15,6.422187
57.253764,54,7.609024
76.99562,48,8.668174
5.717543,8,8.691169
7.749908,13,8.72792
10.029776,14,8.769234
14.988389,15,8.811477
32.944367,27,9.785221
15.763917,25,9.851145
10.229545,13,9.891229
13.544592,33,10.952814
9.092528,13,10.991189
8.566856,13,11.030731
56.981268,34,12.091997
13.211584,19,12.146742
6.023676,9,12.169963
27.593471,36,13.244404
13.421813,17,13.279235
65.954647,39,14.312158
8.498131,10,14.330585
16.108724,18,14.375819
11.515226,15,14.402998
53.931345,48,15.33793
22.880972,32,16.298228
125.457404,105,17.47164
74.623551,47,18.723428
12.571816,29,18.783115
47.88759,29,19.441431
61.251416,37,20.392397
72.544883,43,20.530088
67.125291,39,21.789105
75.68307,55,22.978054
51.92592,31,23.068298
71.930686,43,24.191999
90.303115,50,25.290974
103.811619,76,26.594854
53.093478,31,26.68631
84.64357,49,28.221358
129.198838,66,29.199073
210.777815,97,31.230005
184.029998,85,32.182395
209.042935,93,33.042217
49.272576,30,33.98815
184.266352,100,35.197135
205.860876,91,37.526736
202.689413,97,38.969083
206.89197,94,41.271779
206.89707,102,42.578174
185.069266,86,45.229228
206.494765,98,46.52555
192.134974,94,49.219451
211.805635,97,52.456548
202.050494,99,54.750165
175.826426,87,56.312007
180.253599,85,57.815893
198.803075,90,60.398227
220.267823,109,63.04307
230.991132,109,64.479704
202.22963,97,67.066274
198.529318,89,68.485565
208.786533,93,71.043309
221.308742,102,72.539197
226.493395,99,75.283877
213.964048,98,76.773274
252.985342,104,80.982662
209.36925,91,82.114656
226.421951,96,84.535333
201.12167,91,85.761596
206.36257,91,88.042688
188.112495,86,89.490265
252.608138,106,91.758316
199.51958,91,93.005783
227.803719,99,95.402768
236.924653,105,96.371094
264.991027,111,98.86453
231.279246,98,101.221572
233.262159,99,102.244879
264.566254,112,105.673009
218.239438,97,106.737151
241.167806,104,109.005944
279.540088,114,111.429621
267.343618,108,113.818536
238.881341,104,115.294609
253.321105,112,117.624814
281.911215,114,120.2004
305.014142,120,122.702691
303.300902,120,124.194752
279.960858,116,126.651026
283.25207,116,130.834023
284.785825,119,133.281077
299.216721,123,136.004803
309.335422,124,138.467922
322.477862,127,141.329955
296.987542,122,144.014627
342.000837,131,146.733473
415.164194,144,149.691939
344.780527,127,152.307558
383.580121,141,154.938375
458.316399,166,160.849645
