#{"t_start": 1774954777.539572, "env_id": "HalfCheetah-v4"}
r,l,t
-303.703806,1000,2.147925
-375.926017,1000,34.907112
-386.503669,1000,73.159143
-209.381946,1000,112.360198
-215.96201,1000,136.181639
-247.530147,1000,173.052638
-217.649737,1000,210.455909
-156.717219,1000,248.712491
-202.875428,1000,288.631166
-4.198976,1000,313.579494
50.751118,1000,349.590642
289.06086,1000,387.473006
335.257703,1000,425.48757
452.359507,1000,462.783084
330.626362,1000,487.484899
330.278057,1000,524.338444
208.33632,1000,563.630898
385.124865,1000,602.423242
382.561289,1000,639.09188
487.247369,1000,664.195846
1102.789041,1000,704.152652
1501.776889,1000,741.685438
661.975457,1000,780.425498
819.650199,1000,817.532899
1642.331143,1000,842.754966
1054.340563,1000,880.772156
1658.751419,1000,917.097665
566.564242,1000,955.183995
2710.767559,1000,994.988976
2770.756881,1000,1019.206327
2794.560156,1000,1058.366843
3141.857746,1000,1096.159148
3016.844333,1000,1134.587849
3249.170568,1000,1173.323263
3334.546638,1000,1196.106907
3611.806433,1000,1235.463276
3634.433517,1000,1274.764767
3674.525896,1000,1312.040066
3830.84074,1000,1351.517679
3858.616122,1000,1374.460353
3812.673327,1000,1413.547792
4032.85711,1000,1450.414925
4096.664179,1000,1487.241691
4259.162136,1000,1527.024268
4045.360633,1000,1552.471529
4123.483089,1000,1589.382828
963.197675,1000,1626.293965
4224.279627,1000,1663.541336
4222.173156,1000,1702.84373
4456.64507,1000,1728.047446
1532.073337,1000,1765.907436
4569.752411,1000,1804.885969
4365.729229,1000,1842.98791
4639.704788,1000,1879.865825
4821.239485,1000,1905.437976
4599.696911,1000,1941.980874
4814.179914,1000,1981.165768
4650.618351,1000,2019.508114
4735.420539,1000,2057.047772
4887.787315,1000,2082.427334
4858.747229,1000,2121.645394
4780.358212,1000,2158.858638
4756.610226,1000,2197.364983
4992.513929,1000,2235.234938
4973.523841,1000,2259.103117
4997.778052,1000,2298.344162
5066.764069,1000,2336.273419
5127.264392,1000,2373.525442
5260.350549,1000,2411.223453
5003.847228,1000,2435.16022
5139.999219,1000,2474.309208
5093.761568,1000,2511.696029
5192.855968,1000,2550.246772
5182.641318,1000,2586.277091
5169.319894,1000,2610.065714
5521.288042,1000,2650.003204
5251.591279,1000,2688.018681
5411.856482,1000,2725.957893
5310.599115,1000,2765.15745
5259.812718,1000,2789.473314
5363.446685,1000,2828.292243
5274.50353,1000,2865.106146
5512.166804,1000,2902.294424
5457.766963,1000,2940.391781
5293.792414,1000,2965.720208
5540.023585,1000,3002.861645
5617.779797,1000,3041.495303
5486.313861,1000,3078.640681
5687.842564,1000,3117.785266
5408.381562,1000,3142.697666
5484.622678,1000,3180.142868
5596.585329,1000,3219.306548
5434.924591,1000,3258.880736
5492.929078,1000,3296.888726
5436.467899,1000,3322.217011
5782.721383,1000,3359.350869
5527.113308,1000,3399.173243
5635.985353,1000,3436.489997
5590.237275,1000,3473.782764
5690.086748,1000,3498.899325
5890.38664,1000,3536.100372
5785.510718,1000,3572.958054
5634.402634,1000,3611.647236
5969.116252,1000,3646.936267
5815.489874,1000,3672.666792
5852.401621,1000,3711.377663
5845.772301,1000,3748.278447
5769.987576,1000,3788.246072
5790.470853,1000,3827.40302
5736.689956,1000,3851.362784
6034.244399,1000,3890.918093
5854.068563,1000,3928.45748
6057.771646,1000,3967.236155
5910.590522,1000,4006.196383
6002.309931,1000,4030.602959
5810.326452,1000,4070.612381
6109.686126,1000,4109.93037
5719.906526,1000,4146.737941
5982.552136,1000,4184.186622
5992.859313,1000,4207.344156
6037.127841,1000,4246.606106
6026.759294,1000,4284.425982
5917.735907,1000,4322.159465
5906.141341,1000,4359.559508
6059.679374,1000,4384.761191
