#{"t_start": 1774878997.5910718, "env_id": "Hopper-v4"}
r,l,t
46.687502,33,0.874924
14.607901,27,0.91825
20.288021,21,0.954902
9.52634,13,0.981256
16.532998,18,1.018527
7.450736,12,1.045103
8.164304,10,1.064377
13.879066,26,1.110505
9.225702,14,1.140262
3.978213,23,1.186634
14.985624,18,1.226762
7.042255,9,1.248935
11.381854,14,1.284634
15.98189,27,1.351982
12.032452,14,1.389333
12.938378,17,1.434451
9.82399,12,1.466932
10.719643,25,1.531939
11.837498,14,1.570843
11.619119,16,1.604332
14.576248,16,1.632409
15.591449,18,1.672573
59.54405,40,1.773323
6.267056,14,1.810593
12.831999,26,1.876794
12.868601,26,1.945063
8.350542,10,1.972078
9.680416,16,2.012787
12.340119,16,2.057236
6.748379,10,2.08381
15.2881,18,2.195124
22.237143,23,2.251132
16.125668,23,2.318449
15.468665,31,2.407693
16.052572,17,2.456439
6.560532,10,2.486212
23.393361,29,2.568069
13.660222,28,2.651847
17.788216,26,2.727807
11.303649,15,2.774404
30.288443,24,2.843139
9.082497,14,2.882035
17.740154,22,2.944588
70.213917,48,3.082617
11.822422,15,3.125471
12.402501,15,3.168962
30.610469,30,3.25253
7.629604,32,3.343508
7.494931,12,3.378379
31.453437,45,3.494797
9.235687,12,3.513321
5.697679,9,3.533946
8.8919,19,3.579283
18.81555,23,3.637802
35.615401,31,3.702539
13.356978,28,3.760267
16.255864,17,3.801703
9.314489,13,3.833273
65.274948,50,3.958943
37.882617,56,5.455937
7.649227,10,5.477539
15.492027,19,5.520741
49.483012,35,6.255636
7.017035,12,6.291719
21.864058,22,6.359433
93.154193,64,7.624578
9.431387,12,7.67223
19.626964,20,8.962588
28.41314,43,9.120243
103.791896,72,10.580892
21.634265,31,11.711483
17.005243,29,11.813123
72.902874,44,13.074264
32.172756,46,14.523485
15.563926,16,14.581111
9.623943,34,15.843545
48.820487,30,15.948979
65.825324,61,17.457025
21.643872,19,17.527928
15.417079,28,18.881463
73.055054,55,20.411993
7.882024,15,20.470015
75.231477,44,21.831372
80.89668,47,21.998626
58.503021,34,23.474087
71.807119,43,23.607317
135.143872,73,25.766968
107.111034,60,27.295345
42.392713,72,28.737971
76.850919,44,28.895141
164.789179,82,32.365078
60.381755,36,32.438037
194.032837,88,35.142759
58.036064,35,35.228449
214.836126,96,37.727127
216.907831,96,38.610494
200.310381,93,40.613539
200.302725,89,41.650849
195.892628,89,43.048162
211.972111,93,45.816624
202.955297,90,47.394017
184.659381,86,50.214634
202.250455,94,51.462871
197.992324,89,52.863387
208.533917,93,55.13239
206.803917,91,57.789644
209.399381,92,60.541607
188.903709,85,62.107929
194.44323,87,63.69389
183.714664,84,66.176194
185.796004,84,67.285151
197.964487,90,68.42145
198.239844,88,70.562323
192.09476,86,71.68813
195.531495,88,73.37228
183.109643,85,74.471257
182.218844,84,75.542001
195.663534,87,77.824687
183.524541,83,79.078514
173.582575,82,80.452343
193.40526,87,83.134686
200.897018,90,85.25453
169.171877,85,86.333991
194.342453,89,88.526274
201.649448,90,90.082943
216.861372,94,91.436369
259.180929,112,94.275736
235.117256,100,96.557843
243.895636,102,97.929393
254.477168,107,100.575379
231.075143,100,102.848084
242.111504,103,104.180491
227.355943,97,106.177906
241.952618,104,109.33949
244.517874,109,111.63185
256.871063,109,114.166037
266.693014,112,116.598886
247.451888,108,117.896105
246.343589,104,120.527927
236.478057,103,121.822216
258.081307,111,124.661208
254.248909,108,126.527974
265.997415,115,129.497593
283.988404,126,132.448535
164.540593,81,135.807995
167.822141,83,137.008282
