#{"t_start": 1774893282.7255921, "env_id": "Hopper-v4"}
r,l,t
12.192232,16,0.826051
12.875359,15,0.849153
72.674195,49,0.929615
17.599759,17,0.965606
8.994034,11,0.990845
97.870781,67,1.148816
9.700649,22,1.212832
29.27018,32,1.307249
12.206992,26,1.386623
8.06638,12,1.425544
19.751405,30,1.523275
13.780785,17,1.57886
5.485512,8,1.605154
16.241552,28,1.690851
35.544377,35,1.799883
56.702939,48,1.936021
6.790832,10,1.965822
23.630409,30,2.054661
10.662297,15,2.098759
12.230056,19,2.153464
17.045996,28,2.234063
20.035249,34,2.328747
10.414727,12,2.363459
12.899658,19,2.416218
10.286025,19,2.468232
20.261412,22,2.512262
49.134216,45,2.630002
11.06943,17,2.67559
7.224165,11,2.713109
32.336308,34,2.815309
9.098167,11,2.848369
34.861675,29,2.934327
5.928326,9,2.961934
6.420967,9,2.989202
16.845918,29,3.082256
11.801151,16,3.131105
6.947071,10,3.162818
7.764763,10,3.193054
36.667105,53,3.354567
10.225196,29,3.441454
15.233647,22,3.505822
14.954809,20,3.563847
19.21051,19,3.616355
13.56799,19,3.673027
34.920947,27,3.740327
40.280768,40,3.836673
133.891492,100,4.089274
33.589483,26,4.155485
21.989994,20,4.199345
19.057999,28,5.451469
14.965636,18,6.53429
25.595282,33,6.643446
5.937371,9,6.674484
14.498064,15,7.76913
10.202652,13,7.820972
13.474025,20,7.892376
38.788105,36,8.994647
33.000112,34,9.088733
11.837873,18,9.14264
20.160204,21,10.161173
15.437641,18,10.223656
48.149584,54,11.24722
33.382962,37,11.371137
21.244705,23,12.27389
11.782813,13,12.304136
15.254909,15,12.335841
4.473921,13,12.361881
15.482745,23,13.092894
7.908745,17,13.141428
20.021859,36,14.389135
9.305118,18,14.451506
76.374082,45,15.764321
127.395981,84,17.055348
55.120713,47,18.271496
7.158617,12,18.313861
12.962421,41,19.627747
79.725858,50,19.773391
92.509266,68,21.257121
124.860848,67,22.571527
152.709266,77,25.410405
102.060093,69,26.815703
63.720017,37,26.916435
54.770469,34,28.170934
159.56933,91,29.4023
85.141154,48,31.479112
76.224631,44,32.663366
155.782354,77,34.249055
62.622159,41,35.687199
244.798928,105,37.238588
223.760592,100,39.907965
224.348716,99,41.389873
219.655699,97,43.909268
218.014799,98,45.470147
205.967491,94,47.781616
219.585943,103,49.074356
204.535944,93,51.278992
242.084969,102,52.605988
215.029316,98,55.308068
206.585924,91,58.118255
212.001533,94,60.217703
208.461953,96,61.716376
216.030822,96,64.027868
217.749213,95,65.34455
209.557891,92,67.581746
218.20298,96,68.698297
198.953538,90,71.04097
210.997819,93,72.232057
216.028037,94,74.661597
205.305863,91,76.077121
200.87832,90,77.686807
211.234788,94,79.743752
216.104372,96,81.396397
206.020601,92,84.977619
204.795758,91,86.357879
219.733377,97,89.035385
219.65446,97,90.789842
218.114753,96,93.597503
214.418205,95,95.159835
199.217166,91,98.141119
242.381561,108,99.591668
241.488928,103,102.422717
203.089633,90,104.05465
217.70808,99,106.506042
238.315438,103,109.053189
216.785587,95,110.686548
225.525645,97,114.800429
244.562775,119,116.342127
196.131685,91,119.322005
259.492501,110,122.060594
244.855077,109,123.194659
243.967637,104,125.648427
244.624029,105,128.221505
249.882471,107,129.729923
253.3042,109,132.443755
273.659649,115,135.237257
273.09121,115,138.012323
278.778806,116,141.493582
276.534997,117,144.284301
274.154093,111,146.636752
348.043775,142,149.687892
274.997316,115,151.97788
296.293527,123,154.552546
282.521781,117,156.765563
279.946963,117,158.233644
336.259039,131,161.847257
311.110391,126,163.509769
327.459805,131,169.637843
346.200016,137,171.778372
350.558497,135,174.156022
313.491766,133,176.770654
414.929884,150,179.234098
374.831215,144,181.673758
301.385592,128,183.872403
362.411031,140,187.500171
395.240303,148,189.691589
384.130727,149,194.504955
206.957361,96,196.416322
201.462436,91,197.449846
228.303531,100,199.647944
541.571162,193,203.166897
474.174404,174,206.256396
384.097586,151,208.792282
496.686442,175,212.997368
438.445445,158,216.027452
428.221207,154,221.610893
