#{"t_start": 1774893282.7318347, "env_id": "Hopper-v4"}
r,l,t
14.168837,18,0.822881
11.783146,38,0.881407
11.82146,25,0.926352
6.64346,11,0.947573
7.91188,11,0.973106
45.523929,37,1.054439
8.888088,11,1.080607
10.840557,15,1.118686
7.535991,14,1.157069
13.118572,17,1.207021
7.937194,16,1.25328
9.64367,17,1.30497
16.580671,19,1.363112
9.403738,11,1.397839
8.456802,11,1.431769
24.156263,23,1.507065
7.777236,10,1.538734
16.772412,20,1.605584
8.915515,11,1.640553
23.804434,21,1.701951
11.404813,14,1.744907
7.263995,15,1.793959
19.135932,20,1.857212
7.859221,10,1.880294
9.292336,21,1.93896
31.311049,58,2.109643
7.617057,14,2.150668
9.823931,13,2.187665
34.401571,30,2.273089
7.699488,10,2.301129
18.764794,27,2.378968
35.963848,37,2.477481
10.371502,16,2.506345
8.259402,14,2.542586
21.441436,30,2.620311
14.936602,24,2.69168
8.238852,16,2.742275
21.569585,38,2.853703
14.452525,20,2.913586
26.419827,32,3.011031
8.427613,12,3.049331
10.17324,16,3.099946
7.974872,12,3.138909
7.000371,9,3.165683
244.253283,156,3.628734
29.026196,39,3.732084
14.835101,19,3.773319
24.530446,29,3.847393
17.441957,16,3.887356
10.664613,15,3.928209
11.956363,14,3.965491
11.763819,19,4.007191
13.795419,17,4.052413
9.762088,24,4.112711
13.186424,17,4.158345
14.024225,18,4.196212
19.223346,44,6.524741
10.898871,19,6.58674
10.201607,13,6.631085
23.592341,27,7.768899
11.827801,16,7.829431
8.97306,11,7.869254
13.06388,16,7.92485
10.396126,20,8.9737
15.330086,20,9.036565
46.357889,41,10.096819
24.115501,29,10.197379
15.005015,31,10.280244
38.417135,44,11.290503
11.102028,16,11.344231
23.366098,25,12.255853
83.771601,94,13.16233
24.768212,32,14.400166
67.754247,112,16.944666
77.02602,51,17.099985
103.909966,57,18.37151
14.407054,32,19.644991
108.242932,67,21.103032
80.643804,98,22.540071
115.254008,79,25.370711
119.785583,61,25.60527
105.016975,59,26.927992
86.258478,50,28.229303
125.071559,77,29.424277
131.712986,68,31.522722
169.984339,82,34.209134
72.130457,43,34.334932
173.523543,82,37.15443
243.891026,123,39.882802
240.553688,115,41.410628
234.316839,102,43.94609
216.685921,95,45.495404
229.116206,107,47.839152
239.57225,111,50.064311
228.424854,103,51.407268
230.6791,101,53.837724
212.529267,93,56.471123
226.128961,97,58.801179
220.654013,98,61.579966
220.347258,98,62.979923
212.418583,93,65.16845
211.907356,95,66.282572
206.621057,92,67.692349
206.244924,92,69.595658
209.642508,94,71.173249
209.617993,93,73.505851
205.364349,91,74.795722
200.520715,90,77.49406
211.388859,93,78.815468
206.34579,91,81.193194
197.628559,90,84.240545
193.218218,87,85.048187
225.665562,99,87.59741
215.864655,96,89.13988
194.414037,87,92.091869
220.577264,96,93.681992
221.544379,98,96.610116
201.848882,92,98.220907
223.481055,102,100.875046
232.07064,100,102.480323
208.905403,92,105.075806
229.048338,101,106.557844
235.966508,102,109.124196
