#{"t_start": 1774831784.2932057, "env_id": "Hopper-v4"}
r,l,t
9.374037,14,0.895478
14.624947,23,0.938617
16.147724,21,0.981966
8.623634,13,1.011684
8.5646,12,1.040489
23.781769,27,1.110895
47.965077,34,1.209596
6.77912,10,1.240254
13.670265,16,1.290452
16.658507,18,1.348464
9.884122,12,1.387425
20.495015,26,1.472137
16.983478,29,1.568731
12.179061,18,1.627867
15.811433,22,1.70272
72.554628,49,1.870421
15.684165,42,2.018157
8.363689,22,2.097129
3.216303,14,2.145066
6.304715,14,2.19022
11.673277,13,2.231392
10.031507,13,2.274123
8.234087,14,2.321823
11.063175,15,2.373761
6.299335,9,2.405534
8.206495,18,2.469855
13.52697,29,2.573591
20.374022,33,2.68705
6.514209,13,2.730864
5.803142,8,2.758875
12.823509,14,2.806006
25.094389,25,2.891656
6.816208,9,2.922842
21.844278,25,3.010459
17.877013,29,3.11325
15.327449,27,3.205647
28.146175,23,3.28401
9.200759,12,3.324871
15.352646,17,3.38436
8.626403,10,3.421822
10.121142,29,3.527383
28.176415,41,3.676903
13.750973,22,3.756269
6.830291,13,3.803643
6.037547,12,3.848529
11.778947,24,3.933735
59.101596,41,4.073402
8.359668,21,4.144869
11.883298,18,4.205089
34.529925,29,4.303265
8.435705,10,4.336055
23.380907,24,4.417463
5.473003,8,4.44531
10.809068,16,4.501765
6.194445,12,4.545497
6.583475,10,4.581862
9.87614,17,4.640938
9.906089,15,4.693685
8.228747,15,4.745119
14.772926,26,4.83636
9.743331,14,4.884494
5.869019,8,4.91048
9.223652,12,4.948881
8.812771,11,4.983503
11.554566,15,7.641308
4.36682,7,7.654245
3.80062,7,7.667346
7.315576,14,7.693776
12.888203,13,7.717886
10.072376,20,7.759691
10.619292,16,7.796242
7.289276,10,7.819893
5.089434,15,7.857641
15.416572,21,7.91586
61.508987,72,8.136734
9.841275,13,8.177805
43.784488,54,8.366208
6.919974,10,8.403358
5.702573,20,8.476425
6.289257,10,8.513448
14.033277,21,8.592388
5.063173,9,8.626923
60.625391,45,8.795945
7.83438,15,8.851151
9.595832,12,8.895364
6.239352,11,8.935876
12.442971,15,8.990923
6.690617,15,9.045575
11.292449,26,9.139863
9.516426,17,9.197869
29.095504,27,9.292687
17.858397,21,9.369359
13.773175,16,9.427153
8.82677,11,9.4698
15.62677,35,9.603464
26.160838,35,9.73527
8.017498,10,9.772353
15.039083,16,9.828571
11.298155,15,9.883329
11.873691,13,9.929693
13.097459,19,9.997628
10.671332,19,10.067693
14.531163,18,10.130085
8.240915,27,10.200923
34.471317,28,16.641209
42.246295,41,16.813492
10.741684,14,16.867983
41.611866,31,16.985476
22.064062,22,17.066243
93.956274,54,17.269276
40.733996,32,17.38567
6.869344,11,17.424952
10.812169,14,17.472579
48.72598,42,17.617683
8.957754,13,17.663201
